country,created_at,total_tweets,total_unique_user_ids,Population,total_tweets_per_pop,unique_user_per_pop
Liberia,all,49,21,5077411,0.965058767,0.413596614
Libya,all,54,36,6887247,0.784057839,0.522705226
Liechtenstein,all,42,5,38147,110.1004011,13.1071906
Lithuania,all,73,17,2715340,2.688429442,0.62607261
Luxembourg,all,109,50,627704,17.36487262,7.965537897
Macau,all,14,7,,0,0
Madagascar,all,25,16,27808395,0.089900909,0.057536582
Malawi,all,109,60,19211425,0.567370718,0.312314157
Malaysia,all,3768,1397,32436963,11.61637728,4.306815037
Maldives,all,1107,292,542151,204.1866565,53.8595336
Mali,all,202,51,20346106,0.99281897,0.250662215
Malta,all,114,60,441750,25.80645161,13.58234295
Marshall Islands,all,1,1,59259,1.687507383,1.687507383
Martinique,all,172,31,375213,45.84062919,8.261973866
Mauritania,all,21,8,4669775,0.449700467,0.171314464
Mayotte,all,6,5,273905,2.190540516,1.82545043
Mexico,all,15720,4761,129166028,12.17038276,3.685953709
Moldova,all,16,7,4032294,0.396796464,0.173598453
Monaco,all,89,15,39290,226.5207432,38.17765335
Mongolia,all,70,43,3287242,2.129444683,1.308087448
Montenegro,all,115,34,628080,18.30976946,5.413323144
Morocco,all,325,137,36985624,0.878719797,0.370414191
Myanmar,all,75,28,54473253,0.137682249,0.051401373
Nepal,all,767,292,29225196,2.624447754,0.999137867
New Caledonia,all,22,10,285972,7.693060859,3.496845845
New Zealand,all,1603,412,4829021,33.19513417,8.531750017
Nicaragua,all,472,118,6638075,7.110495136,1.777623784
Niger,all,67,29,24346468,0.275193921,0.119113787
Nigeria,all,13887,4002,206984347,6.709202991,1.93347954
North Korea,all,3,3,25798588,0.011628543,0.011628543
Northern Mariana Islands,all,5,4,57619,8.677693122,6.942154498
Norway,all,320,171,5428594,5.894712333,3.149986903
Oman,all,386,187,5128058,7.527215956,3.646604621
Pakistan,all,6522,1653,221612785,2.942971002,0.745895594
Palau,all,7,1,18109,38.65481252,5.522116075
Panama,all,2047,396,4326296,47.31530159,9.153326541
