country,created_at,total_tweets,total_unique_user_ids
Italy,18,462,339
Italy,29,460,330
Mexico,26,459,303
France,26,457,303
Mexico,14,457,334
Argentina,16,454,294
Nigeria,2,453,316
Nigeria,15,451,304
Mexico,27,450,307
Italy,20,449,328
Mexico,20,449,314
Nigeria,8,449,289
Nigeria,22,449,304
Italy,4,447,313
France,27,443,315
Turkey,4,443,300
Turkey,14,443,324
Italy,19,440,328
France,20,439,334
France,21,439,313
Italy,24,435,310
Mexico,30,433,302
Nigeria,24,429,299
Chile,17,428,288
Italy,27,428,325
Nigeria,14,426,285
Chile,16,424,284
Colombia,6,424,320
France,22,424,329
Brazil,27,422,315
Turkey,16,422,290
Turkey,25,422,276
Chile,6,421,300
Colombia,1,421,300
Italy,14,421,315
Mexico,29,421,295
Nigeria,29,416,280
Nigeria,21,415,281
Turkey,17,414,252
Nigeria,19,413,295
Brazil,25,409,299
Italy,9,408,300
Nigeria,9,407,255
Nigeria,30,407,275
Argentina,7,404,295
Mexico,10,401,285
South Africa,16,395,255
Italy,28,394,291
France,13,392,247
South Africa,23,392,270
France,11,391,276
Brazil,26,390,278
Italy,11,387,298
Turkey,8,383,246
Argentina,15,382,282
Italy,30,380,280
Argentina,11,378,246
Colombia,2,377,280
South Africa,9,377,257
Mexico,11,376,243
Italy,12,374,275
Italy,21,372,290
Argentina,14,370,273
Turkey,9,369,269
Mexico,19,368,277
Nigeria,7,368,262
Argentina,6,366,269
Brazil,12,366,234
Italy,22,364,285
Mexico,13,364,253
Nigeria,3,364,266
Chile,7,361,265
Turkey,26,361,257
Colombia,15,360,245
France,12,359,233
Germany,6,353,239
South Africa,29,350,217
Italy,25,349,266
Nigeria,28,349,260
Colombia,17,346,260
Pakistan,6,342,215
Argentina,8,341,259
Chile,1,341,243
Germany,4,341,227
Italy,23,341,265
Colombia,3,339,251
Argentina,2,338,251
Colombia,24,338,231
Colombia,16,337,245
South Africa,17,335,239
Argentina,17,334,240
Nigeria,12,332,237
Ireland,11,331,286
Pakistan,3,330,209
Chile,24,327,231
Colombia,12,326,248
South Africa,6,324,230
Chile,14,323,228
Germany,5,322,227
Brazil,13,320,220
Turkey,13,320,214
Chile,8,319,248
Argentina,26,318,220
Nigeria,10,318,220
Australia,4,316,238
Colombia,7,316,243
South Africa,5,316,225
Mexico,12,315,224
Turkey,7,313,225
South Africa,25,310,202
Turkey,15,310,224
Argentina,24,309,238
Colombia,5,309,230
South Africa,2,309,200
South Africa,3,309,207
South Africa,21,309,214
Ecuador,3,307,190
Turkey,18,307,216
Argentina,10,306,215
South Africa,4,306,230
Australia,1,305,234
Germany,16,305,215
Argentina,9,304,226
Nigeria,11,303,213
Turkey,20,303,188
Chile,10,302,220
Chile,3,301,231
Germany,1,301,211
Australia,3,300,224
Italy,13,299,210
Chile,25,298,205
South Africa,14,295,162
Colombia,8,294,222
Pakistan,17,294,186
Argentina,13,291,211
Colombia,14,291,222
Ecuador,6,290,165
Chile,15,288,218
Germany,8,288,204
Germany,15,288,219
Argentina,21,287,213
Australia,6,287,210
South Africa,15,287,193
South Africa,18,287,209
Ireland,17,286,209
Germany,2,285,203
Argentina,20,284,202
Colombia,4,284,216
Pakistan,7,284,191
Ireland,10,283,213
Australia,8,282,234
Chile,18,280,187
Colombia,18,279,217
Germany,3,279,197
Pakistan,2,278,161
South Africa,1,277,164
Argentina,18,276,207
Australia,2,276,216
Chile,20,276,193
Pakistan,16,276,179
Chile,13,275,195
Germany,17,275,204
Chile,2,273,207
Pakistan,4,273,184
Ireland,5,270,225
Argentina,22,269,209
Chile,5,269,185
Argentina,4,265,213
Chile,9,264,207
Ireland,8,264,219
South Africa,26,264,186
Ireland,6,262,220
Australia,5,259,205
Colombia,23,259,188
Ireland,1,258,209
Pakistan,1,258,160
Turkey,27,258,189
Chile,19,257,175
Pakistan,5,257,171
South Africa,10,257,170
Ecuador,1,255,156
Ecuador,2,255,160
Germany,18,252,196
South Africa,12,252,151
Argentina,29,251,187
Colombia,26,251,184
South Africa,8,249,164
Argentina,25,248,178
Ireland,16,248,197
South Africa,27,248,190
Chile,4,247,197
Chile,21,246,185
Chile,26,246,164
Ireland,4,244,196
Turkey,19,244,180
Chile,12,242,183
Argentina,5,241,194
Turkey,24,241,169
Chile,11,240,164
Ecuador,17,240,163
Turkey,21,240,174
Argentina,23,239,181
Colombia,11,237,179
Colombia,25,236,181
Pakistan,24,236,165
Australia,26,235,187
Colombia,9,235,188
Germany,27,235,181
Chile,23,234,170
Colombia,13,234,190
Pakistan,9,234,162
Ecuador,4,233,149
Pakistan,10,233,154
Pakistan,18,232,147
Argentina,12,230,153
